term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
In-work at-risk-of-poverty rate by full-/part-time work - EU-SILC survey,in-work at-risk-of-poverty rate by full-/part-time work - eu-silc survey,"Income, poverty and living conditions",0.681479,Labour market,0.04154,0.639939,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6815; margin=0.6399; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
In-work at-risk-of-poverty rate by months worked - EU-SILC survey,in-work at-risk-of-poverty rate by months worked - eu-silc survey,"Income, poverty and living conditions",0.680698,Demography and population,0.013886,0.666812,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6807; margin=0.6668; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
Persistent at-risk-of-poverty rate by sex and age - EU-SILC and ECHP surveys,persistent at-risk-of-poverty rate by sex and age - eu-silc and echp surveys,"Income, poverty and living conditions",0.677642,Demography and population,0.01336,0.664282,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6776; margin=0.6643; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of-poverty rate of elderly people by tenure status - EU-SILC survey,at-risk-of-poverty rate of elderly people by tenure status - eu-silc survey,"Income, poverty and living conditions",0.677415,Demography and population,0.013321,0.664094,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6774; margin=0.6641; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of-poverty rate after deducting housing costs by degree of urbanisation,at-risk-of-poverty rate after deducting housing costs by degree of urbanisation,"Income, poverty and living conditions",0.675844,Housing and construction,0.412711,0.263133,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6758; margin=0.2631; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of poverty rate for children by citizenship of their parents population aged 0 to 17 years,at-risk-of poverty rate for children by citizenship of their parents population aged 0 to 17 years,"Income, poverty and living conditions",0.67093,Demography and population,0.118099,0.552831,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6709; margin=0.5528; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
At-risk-of-poverty rate anchored at a fixed moment in time by sex - EU-SILC survey,at-risk-of-poverty rate anchored at a fixed moment in time by sex - eu-silc survey,"Income, poverty and living conditions",0.669298,Labour market,0.03533,0.633969,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6693; margin=0.6340; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of poverty rate for children by country of birth of their parents population aged 0 to 17 years,at-risk-of poverty rate for children by country of birth of their parents population aged 0 to 17 years,"Income, poverty and living conditions",0.667304,Demography and population,0.224892,0.442413,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6673; margin=0.4424; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",2,2,poverty
At-risk-of-poverty rate anchored at a fixed moment in time by age and sex - EU-SILC survey,at-risk-of-poverty rate anchored at a fixed moment in time by age and sex - eu-silc survey,"Income, poverty and living conditions",0.667283,Labour market,0.034302,0.63298,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6673; margin=0.6330; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of-poverty rate anchored at a fixed moment in time by age group - EU-SILC survey,at-risk-of-poverty rate anchored at a fixed moment in time by age group - eu-silc survey,"Income, poverty and living conditions",0.666889,Labour market,0.034102,0.632788,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6669; margin=0.6328; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of poverty rate for adults aged 25 to 59 years by educational attainment level of their parents,at-risk-of poverty rate for adults aged 25 to 59 years by educational attainment level of their parents,"Income, poverty and living conditions",0.663681,Education and training,0.367216,0.296464,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6637; margin=0.2965; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
At-risk-of poverty rate for adults aged 25 to 59 years by level of financial situation of their households when respondent was around 14 years old,at-risk-of poverty rate for adults aged 25 to 59 years by level of financial situation of their households when respondent was around 14 years old,"Income, poverty and living conditions",0.648442,Demography and population,0.008335,0.640106,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty|poverty rate,"Best profile: Income, poverty and living conditions; score=0.6484; margin=0.6401; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate",1,1,poverty
Persons having experienced housing difficulties in their life by sex and current risk of poverty or social exclusion situation,persons having experienced housing difficulties in their life by sex and current risk of poverty or social exclusion situation,"Income, poverty and living conditions",0.569262,Housing and construction,0.115024,0.454238,high,rule_override_and_tfidf,poverty|social exclusion,social exclusion,"Best profile: Income, poverty and living conditions; score=0.5693; margin=0.4542; override_rules=poverty, social exclusion; keywords=poverty, social exclusion; strong_keywords=social exclusion",1,1,poverty|social exclusion
Persons reading books in the last 12 months by sex age risk of poverty or social exclusion situation and number of books,persons reading books in the last 12 months by sex age risk of poverty or social exclusion situation and number of books,"Income, poverty and living conditions",0.535937,Housing and construction,0.0,0.535937,high,rule_override_and_tfidf,poverty|social exclusion,social exclusion,"Best profile: Income, poverty and living conditions; score=0.5359; margin=0.5359; override_rules=poverty, social exclusion; keywords=poverty, social exclusion; strong_keywords=social exclusion",1,1,poverty|social exclusion
At-risk-of-poverty threshold for a single household,at-risk-of-poverty threshold for a single household,"Income, poverty and living conditions",0.501146,Housing and construction,0.0,0.501146,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty,"Best profile: Income, poverty and living conditions; score=0.5011; margin=0.5011; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty",1,1,poverty
Income inequality for older people - EU-SILC survey,income inequality for older people - eu-silc survey,"Income, poverty and living conditions",0.496939,Economy and national accounts,0.100718,0.396221,high,rule_override_and_tfidf,income inequality,income inequality,"Best profile: Income, poverty and living conditions; score=0.4969; margin=0.3962; override_rules=income inequality; keywords=income inequality; strong_keywords=income inequality",1,1,income inequality
At risk of poverty threshold (60% of median equivalised income),at risk of poverty threshold (60% of median equivalised income),"Income, poverty and living conditions",0.483409,Economy and national accounts,0.101306,0.382104,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty,"Best profile: Income, poverty and living conditions; score=0.4834; margin=0.3821; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty",2,144,poverty
Severe material deprivation rate by age and sex,severe material deprivation rate by age and sex,"Income, poverty and living conditions",0.479452,Demography and population,0.017778,0.461673,high,rule_override_and_tfidf,material deprivation,material deprivation,"Best profile: Income, poverty and living conditions; score=0.4795; margin=0.4617; override_rules=deprivation; keywords=material deprivation; strong_keywords=material deprivation",1,1,deprivation
Material Deprivation rate by sex - EU-SILC survey,material deprivation rate by sex - eu-silc survey,"Income, poverty and living conditions",0.477353,Demography and population,0.017571,0.459783,high,rule_override_and_tfidf,material deprivation,material deprivation,"Best profile: Income, poverty and living conditions; score=0.4774; margin=0.4598; override_rules=deprivation; keywords=material deprivation; strong_keywords=material deprivation",1,1,deprivation
Severe material deprivation rate by NUTS 2 regions,severe material deprivation rate by nuts 2 regions,"Income, poverty and living conditions",0.468578,Demography and population,0.016701,0.451877,high,rule_override_and_tfidf,material deprivation,material deprivation,"Best profile: Income, poverty and living conditions; score=0.4686; margin=0.4519; override_rules=deprivation; keywords=material deprivation; strong_keywords=material deprivation",1,1,deprivation
Severe material deprivation rate by NUTS regions,severe material deprivation rate by nuts regions,"Income, poverty and living conditions",0.468578,Demography and population,0.016701,0.451877,high,rule_override_and_tfidf,material deprivation,material deprivation,"Best profile: Income, poverty and living conditions; score=0.4686; margin=0.4519; override_rules=deprivation; keywords=material deprivation; strong_keywords=material deprivation",1,1,deprivation
Severe material deprivation rate by tenure status,severe material deprivation rate by tenure status,"Income, poverty and living conditions",0.466307,Demography and population,0.016476,0.449831,high,rule_override_and_tfidf,material deprivation,material deprivation,"Best profile: Income, poverty and living conditions; score=0.4663; margin=0.4498; override_rules=deprivation; keywords=material deprivation; strong_keywords=material deprivation",1,1,deprivation
At-risk-of-poverty threshold - EU-SILC survey,at-risk-of-poverty threshold - eu-silc survey,"Income, poverty and living conditions",0.465183,Housing and construction,0.0,0.465183,high,rule_override_and_tfidf,poverty|at risk of poverty,at risk of poverty,"Best profile: Income, poverty and living conditions; score=0.4652; margin=0.4652; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty",1,1,poverty
Material Deprivation rate by age group - EU-SILC survey,material deprivation rate by age group - eu-silc survey,"Income, poverty and living conditions",0.464276,Demography and population,0.016275,0.448001,high,rule_override_and_tfidf,material deprivation,material deprivation,"Best profile: Income, poverty and living conditions; score=0.4643; margin=0.4480; override_rules=deprivation; keywords=material deprivation; strong_keywords=material deprivation",1,1,deprivation
